"FIPS Code","County","State","Mask Usage","Infection Proportion","Death Proportion"
17193,"White","IL",0.59475,0.223313880475733,0.00317647927901308
17195,"Whiteside","IL",0.85,0.182093339374717,0.00427729950158586
17197,"Will","IL",0.8765,0.155342869924125,0.00185162933247242
17199,"Williamson","IL",0.69975,0.203582743967446,0.00309323242788714
17201,"Winnebago","IL",0.85375,0.181164446583526,0.00231091544809818
17203,"Woodford","IL",0.77125,0.178527782833667,0.00278218362411919
18001,"Adams","IN",0.66175,0.162283030997568,0.00243172988232663
18003,"Allen","IN",0.7195,0.188207720030899,0.00250989325044358
18005,"Bartholomew","IN",0.684,0.165626230917056,0.00241110540827654
18007,"Benton","IN",0.72075,0.204503886602652,0.00205761316872428
18009,"Blackford","IN",0.69025,0.200884504167375,0.00416737540398027
18011,"Boone","IN",0.73625,0.152941349881344,0.0020046283330631
18013,"Brown","IN",0.83375,0.125033130135171,0.00337927378743705
18015,"Carroll","IN",0.723,0.157328330947327,0.00227081996346942
18017,"Cass","IN",0.627,0.227626097800419,0.00366154580912203
18019,"Clark","IN",0.7575,0.177528697739683,0.0024936180284357
18021,"Clay","IN",0.70975,0.185014299332698,0.00251668255481411
18023,"Clinton","IN",0.75,0.204728541004352,0.002777863514306
18025,"Crawford","IN",0.742,0.168195140398979,0.00283634300841448
18027,"Daviess","IN",0.78675,0.159755329675272,0.00368804533597193
18029,"Dearborn","IN",0.68775,0.190282664078612,0.00228476687290226
18031,"Decatur","IN",0.66125,0.188410708234497,0.00440528634361234
18035,"Delaware","IN",0.712,0.156122136066938,0.00287378981031235
18037,"Dubois","IN",0.80675,0.213894608760764,0.00341632347435417
18039,"Elkhart","IN",0.78825,0.204695140568283,0.002864190829743
18041,"Fayette","IN",0.726,0.220760107350013,0.00476149251147087
18043,"Floyd","IN",0.74725,0.159509436845725,0.00309467410407274
18045,"Fountain","IN",0.72875,0.246298788694482,0.00428239324605408
18047,"Franklin","IN",0.76675,0.138544687582389,0.00224097020827841
18049,"Fulton","IN",0.65425,0.191899469310103,0.00390507659957945
18051,"Gibson","IN",0.66925,0.222407082801034,0.003713716985056
18053,"Grant","IN",0.71975,0.201021757971081,0.00410527756237741
18055,"Greene","IN",0.7815,0.156381179124115,0.00338324666374287
18057,"Hamilton","IN",0.80875,0.16028176597803,0.00155320388981424
18059,"Hancock","IN",0.7425,0.179293316958346,0.00255859175110019
18061,"Harrison","IN",0.676,0.181167468838702,0.00261631494508207
18063,"Hendricks","IN",0.78525,0.16321318059315,0.00247781998813935
18065,"Henry","IN",0.61675,0.202513966480447,0.0037938797631952
18067,"Howard","IN",0.764,0.214782419073464,0.00410690056212444
18069,"Huntington","IN",0.63725,0.224644030668127,0.00331325301204819
